time,open,high,low,close,tick_volume,spread,real_volume
2026-04-22 14:35:00,1.17297,1.17302,1.1727400000000001,1.17282,111,21,0
2026-04-22 14:36:00,1.17283,1.1729,1.17281,1.17288,98,21,0
2026-04-22 14:37:00,1.17289,1.17317,1.17289,1.17307,111,21,0
2026-04-22 14:38:00,1.17303,1.17322,1.17302,1.17317,107,21,0
2026-04-22 14:39:00,1.17317,1.17337,1.17315,1.17328,112,21,0
2026-04-22 14:40:00,1.17327,1.17338,1.1732,1.17325,121,21,0
2026-04-22 14:41:00,1.17325,1.1733,1.17314,1.17314,64,21,0
2026-04-22 14:42:00,1.17315,1.17323,1.17306,1.17307,73,21,0
2026-04-22 14:43:00,1.17305,1.1730800000000001,1.17285,1.17287,68,21,0
2026-04-22 14:44:00,1.17288,1.17294,1.17275,1.17277,63,21,0
2026-04-22 14:45:00,1.17278,1.17283,1.17271,1.17282,70,21,0
2026-04-22 14:46:00,1.17283,1.17306,1.17281,1.17291,89,21,0
2026-04-22 14:47:00,1.17291,1.17296,1.17288,1.17291,84,21,0
2026-04-22 14:48:00,1.17292,1.17292,1.17276,1.17278,85,21,0
2026-04-22 14:49:00,1.17278,1.17278,1.17266,1.17268,70,21,0
2026-04-22 14:50:00,1.17268,1.17281,1.17268,1.17271,74,21,0
2026-04-22 14:51:00,1.17272,1.17285,1.1724700000000001,1.17249,141,21,0
2026-04-22 14:52:00,1.17249,1.17254,1.17233,1.17235,112,21,0
2026-04-22 14:53:00,1.17234,1.17235,1.1722,1.17229,134,21,0
2026-04-22 14:54:00,1.17229,1.17251,1.17226,1.17248,139,21,0
2026-04-22 14:55:00,1.17248,1.17248,1.17217,1.17225,130,21,0
2026-04-22 14:56:00,1.17226,1.1723,1.17219,1.17229,122,21,0
2026-04-22 14:57:00,1.17228,1.17229,1.17195,1.17199,152,21,0
2026-04-22 14:58:00,1.17199,1.17199,1.17172,1.17176,187,21,0
2026-04-22 14:59:00,1.17178,1.1718899999999999,1.17176,1.17178,189,21,0
2026-04-22 15:00:00,1.17178,1.17179,1.17168,1.17168,158,21,0
2026-04-22 15:01:00,1.17167,1.17175,1.1715200000000001,1.17168,175,21,0
2026-04-22 15:02:00,1.17168,1.17168,1.17142,1.1715200000000001,205,21,0
2026-04-22 15:03:00,1.17153,1.17164,1.17148,1.17161,112,21,0
2026-04-22 15:04:00,1.17161,1.17166,1.17145,1.17158,186,21,0
2026-04-22 15:05:00,1.17158,1.17165,1.17151,1.17153,119,21,0
2026-04-22 15:06:00,1.17154,1.17158,1.17143,1.17153,110,21,0
2026-04-22 15:07:00,1.17153,1.17181,1.17153,1.17181,156,21,0
2026-04-22 15:08:00,1.17181,1.17201,1.17181,1.17185,98,21,0
2026-04-22 15:09:00,1.17185,1.17197,1.17167,1.17183,159,21,0
2026-04-22 15:10:00,1.17184,1.17204,1.17183,1.17204,113,21,0
2026-04-22 15:11:00,1.17202,1.1721300000000001,1.17181,1.17182,115,21,0
2026-04-22 15:12:00,1.17183,1.17184,1.17165,1.1718,100,21,0
2026-04-22 15:13:00,1.17181,1.17192,1.17174,1.1719,85,21,0
2026-04-22 15:14:00,1.1719,1.17192,1.1718600000000001,1.17192,62,21,0
2026-04-22 15:15:00,1.17192,1.17192,1.1718600000000001,1.1718600000000001,63,21,0
2026-04-22 15:16:00,1.1718600000000001,1.1718600000000001,1.17166,1.17176,80,21,0
2026-04-22 15:17:00,1.17176,1.17176,1.17166,1.17167,80,21,0
2026-04-22 15:18:00,1.17167,1.17175,1.17159,1.17172,99,21,0
2026-04-22 15:19:00,1.1717,1.17184,1.17163,1.1718,51,21,0
2026-04-22 15:20:00,1.17179,1.17185,1.17168,1.17169,72,21,0
2026-04-22 15:21:00,1.17169,1.1717,1.17161,1.17169,61,21,0
2026-04-22 15:22:00,1.17169,1.17181,1.17169,1.17177,64,21,0
2026-04-22 15:23:00,1.17177,1.17181,1.1717,1.17181,72,21,0
2026-04-22 15:24:00,1.1718,1.1718600000000001,1.17176,1.17184,70,21,0
2026-04-22 15:25:00,1.17184,1.17197,1.17184,1.17193,94,21,0
2026-04-22 15:26:00,1.17193,1.17194,1.17184,1.17192,70,21,0
2026-04-22 15:27:00,1.17192,1.17201,1.1718899999999999,1.17201,46,21,0
2026-04-22 15:28:00,1.17201,1.17205,1.17193,1.17198,75,21,0
2026-04-22 15:29:00,1.17197,1.17217,1.17194,1.17207,186,21,0
2026-04-22 15:30:00,1.17208,1.17218,1.17192,1.17217,84,21,0
2026-04-22 15:31:00,1.17217,1.17219,1.17201,1.17202,80,21,0
2026-04-22 15:32:00,1.17202,1.1722,1.17193,1.1722,87,21,0
2026-04-22 15:33:00,1.17221,1.1722299999999999,1.17217,1.17218,54,21,0
2026-04-22 15:34:00,1.17219,1.17229,1.17215,1.17222,104,21,0
2026-04-22 15:35:00,1.1722299999999999,1.17228,1.17212,1.17217,131,21,0
2026-04-22 15:36:00,1.17216,1.17222,1.1721,1.17214,70,21,0
2026-04-22 15:37:00,1.17214,1.17217,1.17209,1.17212,66,21,0
2026-04-22 15:38:00,1.1721300000000001,1.1721300000000001,1.17194,1.17201,68,21,0
2026-04-22 15:39:00,1.17202,1.17207,1.17193,1.17195,61,21,0
2026-04-22 15:40:00,1.17195,1.172,1.17179,1.17183,103,21,0
2026-04-22 15:41:00,1.17183,1.1718600000000001,1.17174,1.17181,68,21,0
2026-04-22 15:42:00,1.1718,1.17182,1.17148,1.1715,92,21,0
2026-04-22 15:43:00,1.1715,1.17156,1.17136,1.17146,121,21,0
2026-04-22 15:44:00,1.17146,1.17147,1.17122,1.17129,125,21,0
2026-04-22 15:45:00,1.17127,1.17134,1.17118,1.17126,74,21,0
2026-04-22 15:46:00,1.17126,1.17132,1.17116,1.17118,123,21,0
2026-04-22 15:47:00,1.17118,1.17135,1.17113,1.17134,93,21,0
2026-04-22 15:48:00,1.17134,1.17158,1.17134,1.17142,95,21,0
2026-04-22 15:49:00,1.17142,1.17149,1.17141,1.17148,47,21,0
2026-04-22 15:50:00,1.17148,1.17159,1.17148,1.17153,81,21,0
2026-04-22 15:51:00,1.17154,1.17156,1.17143,1.17146,67,21,0
2026-04-22 15:52:00,1.17146,1.1715,1.1713,1.17137,69,21,0
2026-04-22 15:53:00,1.17137,1.17141,1.17133,1.17134,96,21,0
2026-04-22 15:54:00,1.17134,1.17138,1.17127,1.1713,72,21,0
2026-04-22 15:55:00,1.1713,1.17146,1.17129,1.17142,61,21,0
2026-04-22 15:56:00,1.17141,1.17156,1.17138,1.17146,86,21,0
2026-04-22 15:57:00,1.17146,1.1715,1.17136,1.17137,72,21,0
2026-04-22 15:58:00,1.17136,1.17138,1.1712,1.1712799999999999,90,21,0
2026-04-22 15:59:00,1.1712799999999999,1.1713,1.1712,1.17122,66,21,0
2026-04-22 16:00:00,1.17122,1.17142,1.17121,1.17133,165,21,0
2026-04-22 16:01:00,1.17133,1.17133,1.17109,1.17116,96,21,0
2026-04-22 16:02:00,1.17116,1.1712500000000001,1.17113,1.1712,112,21,0
2026-04-22 16:03:00,1.1712,1.17126,1.17119,1.1712500000000001,55,21,0
2026-04-22 16:04:00,1.1712500000000001,1.17136,1.17123,1.17131,82,21,0
2026-04-22 16:05:00,1.1713,1.17146,1.1713,1.17145,73,21,0
2026-04-22 16:06:00,1.17145,1.17146,1.17131,1.17145,62,21,0
2026-04-22 16:07:00,1.17146,1.17146,1.17127,1.17132,49,21,0
2026-04-22 16:08:00,1.17131,1.17131,1.17113,1.17123,80,21,0
2026-04-22 16:09:00,1.17123,1.17127,1.1712,1.17121,91,21,0
2026-04-22 16:10:00,1.17122,1.17124,1.17112,1.17117,65,21,0
2026-04-22 16:11:00,1.17116,1.17121,1.17109,1.17112,81,21,0
2026-04-22 16:12:00,1.17113,1.17123,1.17109,1.17123,69,21,0
2026-04-22 16:13:00,1.17123,1.1712799999999999,1.17121,1.17127,50,21,0
2026-04-22 16:14:00,1.1712799999999999,1.17137,1.17124,1.17136,48,21,0
2026-04-22 16:15:00,1.17136,1.17137,1.1712799999999999,1.17131,26,21,0
2026-04-22 16:16:00,1.17131,1.17131,1.17116,1.17117,69,21,0
2026-04-22 16:17:00,1.17116,1.17119,1.17114,1.17118,26,21,0
2026-04-22 16:18:00,1.17118,1.17118,1.17104,1.1711,57,21,0
2026-04-22 16:19:00,1.17109,1.17111,1.17099,1.1710099999999999,62,21,0
2026-04-22 16:20:00,1.1710099999999999,1.17105,1.17096,1.17096,58,21,0
2026-04-22 16:21:00,1.17096,1.17113,1.17096,1.17113,87,21,0
2026-04-22 16:22:00,1.17112,1.17114,1.17098,1.17099,77,21,0
2026-04-22 16:23:00,1.17099,1.1712,1.17098,1.1712,65,21,0
2026-04-22 16:24:00,1.1712,1.1712500000000001,1.17103,1.17104,83,21,0
2026-04-22 16:25:00,1.17103,1.17111,1.17094,1.17102,69,21,0
2026-04-22 16:26:00,1.17102,1.17103,1.17093,1.17098,74,21,0
